Created_at;tweets
2020-03-19 18:29:59;@irritatedwoman @tedlieu @WhiteHouse CA is worse off then you think. Meet the environmental disaster called the… https://t.co/1kD3S2vhjK
2020-03-19 18:29:58;@BaritGT @winsonwen11 @helloimkhaled @sun_cel @WhiteHouse Cool why is the history book not rewritten to call it the… https://t.co/WvqyFxpgr4
2020-03-19 18:29:57;@WhiteHouse @realDonaldTrump The Coronavirus is not a win/lose situation.  It's a disease.  Dead people don't win.… https://t.co/PxCkV37bWD
2020-03-19 18:29:56;@DN433 @teangley @patrick32068 @WhiteHouse @US_FDA @FTC So you’re asking me to believe that all these people are go… https://t.co/pLSxHzSLlb
2020-03-19 18:29:56;@tedlieu @WhiteHouse Wrong TEDDY!  SARS-COV-2 is the virus.  The disease is COVID-19.  How are the Awan brothers?
2020-03-19 18:29:55;@tedlieu @WhiteHouse How about Hong Kong fluey?😂🤣 https://t.co/KCxk8eFaWS
2020-03-19 18:29:53;It already has a name and it’s corona virus. Using the term “Chinese virus” when you have a name already is unneces… https://t.co/DczZdhaFVW
2020-03-19 18:29:52;@glen_shauf @J62804 @_ReaalAmerican_ @briantylercohen @realDonaldTrump @WhiteHouse The pandemic response team was N… https://t.co/dzlB7VcFvq
2020-03-19 18:29:51;@WhiteHouse @realDonaldTrump Hahahaha..he is lying. Because, no ne knows the inner truth and the ground reality of… https://t.co/5ZrEHg8K3C
2020-03-19 18:29:50;@HHSGov @CDCgov @WhiteHouse So if we don’t meet these qualifications then it’s life as usual?  Update this please...
2020-03-19 18:29:50;@WhiteHouse @realDonaldTrump The American virus is really powerful
2020-03-19 18:29:49;@WhiteHouse @realDonaldTrump Stop dreaming now !
2020-03-19 18:29:48;@WhiteHouse Where are the tests you promised?
2020-03-19 18:29:46;@WhiteHouse A demagogue, a pathological liar, a stupid juvenile who hates the truth. He demeans legitimate journali… https://t.co/NKeiV2qQCP
2020-03-19 18:29:44;@WhiteHouse @realDonaldTrump RESIGN! You are UNFIT and your inaction is costing lives.
2020-03-19 18:29:43;Interior define Asher sofa in New York differs from other furniture in the equal ratio of the back to the armrests-… https://t.co/HRSZGRvuB9
2020-03-19 18:29:42;@WhiteHouse @realDonaldTrump When we vote you out, America will be whole again
2020-03-19 18:29:42;@DN433 @LamesLankford @patrick32068 @WhiteHouse @US_FDA @FTC Wait, didn't the Rich family have to sue FOX News and… https://t.co/en2fDB1KOk
2020-03-19 18:29:40;@WhiteHouse @realDonaldTrump It turns out that the #StockMarket #TrumpBump was just an illusion...sadly the @GOP so… https://t.co/6MO92zIwaL
2020-03-19 18:29:38;@WhiteHouse @realDonaldTrump Keep it up.......You’ll be at 20,000 lies in a matter of days!
2020-03-19 18:29:37;@Karla53580340 @WhiteHouse No the economy will not bounced back quickly and Trump will not be reelected in November.
2020-03-19 18:29:35;@WhiteHouse Don't you people have a Klan meeting to get to, or are all you racists social distancing?
2020-03-19 18:29:35;@PG1958 @BWCotter @somebadideas @ClaraJeffery @WhiteHouse @FLOTUS I wonder how much she gets paid to stay? 😆
2020-03-19 18:29:34;@WhiteHouse @realDonaldTrump Quickly, rapidly, we'll see what happens, the media treats me so unfairly, we inherite… https://t.co/Sv40noyJnI
2020-03-19 18:29:33;@Brongreen3 @sun_cel @WhiteHouse Speaking of facts, the President is allergic to them. Hence why we're in this mess.
2020-03-19 18:29:33;@MelissaGBryant @DrEricDing @CDCgov It's more like the CDC was directed by the White House to mislead Americans so… https://t.co/SWEPVfZ93h
2020-03-19 18:29:29;@tedlieu @WhiteHouse According to the NIH, over half of the COVID-19 tests give a false positive result. Your focus… https://t.co/kldLl16hT0
2020-03-19 18:29:29;"@WhiteHouse @realDonaldTrump The Chinese recommend “Favipiravir”, not ""Remdesivir."" possibility is not ruled out: t… https://t.co/3xhYkFDkrB"
2020-03-19 18:29:28;@JackRoberts889 @SuiGeneris24601 @WhiteHouse I appreciate our back and forth and apologize for calling you retarded… https://t.co/TPUMw8yPQ6
2020-03-19 18:29:28;The country is literally falling apart, we have NO leader @WhiteHouse and the @GOP continues to say NOTHING!
2020-03-19 18:29:24;@SenatorBurr @WhiteHouse ... ALL while YOU knew about it and DID'NT say squat! Hope you don't get #TRUMPSPLAGUE and… https://t.co/Uy3J3Pq67M
2020-03-19 18:29:24;@realDonaldTrump @WhiteHouse I agree.
2020-03-19 18:29:23;@tedlieu @WhiteHouse Dear Ted...join us...we are currently Kung Flu fighting.
2020-03-19 18:29:23;@Hamens5 @JerryStevensJr @CarmineSabia @tedlieu @WhiteHouse Stop lying to yourself and others.
2020-03-19 18:29:21;@tedlieu @WhiteHouse What would help you is not be a Nancy sheep.
2020-03-19 18:29:20;@RobDiRienzo We need to bring home more than just the 300! There are over 900 Americans there! My brother and cousi… https://t.co/m8hsckXFwh
2020-03-19 18:29:19;@EliseViksaas @WhiteHouse That would be the worst idea in history
